model_code	model_id	model_initial_id	model_name	model_quarter
MOD_201678	-21678	1678	Мелкий инструмент	-2.0
MOD_201679	-21679	1679	Бочка для брожения	-2.0
MOD_201680	-21680	1680	Аксессуары для компостера	-2.0
MOD_201681	-21681	1681	Ручной культиватор, скребок и мотыга	-2.0
MOD_201682	-21682	1682	Обеззараживание воды (хлор, бром, активный кислород)	-2.0
MOD_201683	-21683	1683	Средство для борьбы с водорослями	-2.0
MOD_201684	-21684	1684	Флокулянт	-2.0
MOD_201685	-21685	1685	Осветляющая cыворотка	-2.0
MOD_201686	-21686	1686	Регулятор pH	-2.0
MOD_201687	-21687	1687	Продукты для чистки бассейна	-2.0
MOD_201688	-21688	1688	Продукты для зимовки бассейна	-2.0
MOD_201689	-21689	1689	Аксессуары для консервации басейна на зиму	-2.0
MOD_201690	-21690	1690	Измеритель уровня pH, соли, хлора и кислорода	-2.0
MOD_201691	-21691	1691	Перезаряжаемое средство от насекомых	-2.0
MOD_201692	-21692	1692	Соль для бассейна и Спа	-2.0
MOD_201693	-21693	1693	Автохлоратор и автоматические станции обработки воды HAYWARD	-2.0
MOD_201694	-21694	1694	Автоматический регулятор pH	-2.0
MOD_201695	-21695	1695	Ручной сачок для чистки бассейна и ловли бабочек	-2.0
MOD_201696	-21696	1696	Мешок или фильтр для скиммера бассейна	-2.0
MOD_201697	-21697	1697	Электрический пылесос для бассейнов	-2.0
MOD_201698	-21698	1698	Акумуляторный пылесос для бассейнов	-2.0
MOD_201699	-21699	1699	Гидравлический пылесос для бассейнов	-2.0
MOD_201700	-21700	1700	Аксессуары для чистки бассейна	-2.0
MOD_201701	-21701	1701	Шланг для подводного пылесоса	-2.0
MOD_201702	-21702	1702	Соединение для подвижной трубы	-2.0
MOD_201703	-21703	1703	Катушка для шланга для бассейна	-2.0
MOD_201704	-21704	1704	Лестница для бассейна	-2.0
MOD_201705	-21705	1705	Душ для бассейна	-2.0
MOD_201706	-21706	1706	Душевые принадлежности для бассейна	-2.0
MOD_201707	-21707	1707	Тепловой насос	-2.0
MOD_201708	-21708	1708	Электрический нагреватель для бассейна	-2.0
MOD_201709	-21709	1709	Cолнечное отопление	-2.0
MOD_201710	-21710	1710	Сигнализация для бассейна	-2.0
MOD_201711	-21711	1711	Освещение для бассейна	-2.0
MOD_201712	-21712	1712	Скиммер для бассейна	-2.0
MOD_201713	-21713	1713	Аксессуары для установки бассейна	-2.0
MOD_201714	-21714	1714	Тент укрытие для бассейна	-2.0
MOD_201715	-21715	1715	Аксессуары для бассейна	-2.0
MOD_201716	-21716	1716	Мат-подложка для бассейна	-2.0
MOD_201717	-21717	1717	Роликовое покрытие для бассейна	-2.0
MOD_201718	-21718	1718	Крыша для бассейна	-2.0
MOD_201719	-21719	1719	Насос для бассейна	-2.0
MOD_201720	-21720	1720	Моноблочный насос для бассейна	-2.0
MOD_201721	-21721	1721	Противоток	-2.0
MOD_201722	-21722	1722	Картридж для фильтра	-2.0
MOD_201723	-21723	1723	Песчаный фильтр для бассейна	-2.0
MOD_201724	-21724	1724	Станция фильтрации для бассейна	-2.0
MOD_201725	-21725	1725	Фильтрующий элемент (кварцевый песок, стекло)	-2.0
MOD_201726	-21726	1726	Электрическая панель для станции фильтрации	-2.0
MOD_201727	-21727	1727	Лайнер для бассейна	-2.0
MOD_201728	-21728	1728	Заплатка и набор для ремонта лайнера бассейна	-2.0
MOD_201729	-21729	1729	Уличный надувной Спа	-2.0
MOD_201730	-21730	1730	Бассейн отдельностоящий	-2.0
MOD_201731	-21731	1731	Наземный бассейн	-2.0
MOD_201732	-21732	1732	Оболочка бассейна из полиэстера	-2.0
MOD_201733	-21733	1733	Бассейн вкопанный из полимерных панелей	-2.0
MOD_201734	-21734	1734	Надувной игровой элемент для бассейна	-2.0
MOD_201735	-21735	1735	Коврик и площадка для принятия душа после бассейна	-2.0
MOD_201736	-21736	1736	Садовый стол не раскладной	-2.0
MOD_201737	-21737	1737	Садовый стол раскладной	-2.0
MOD_201738	-21738	1738	Стул, кресло, диван и диван с подушками	-2.0
MOD_201739	-21739	1739	Стул, кресло, диван и диван без подушки	-2.0
MOD_201740	-21740	1740	Набор обеденной мебели для сада	-2.0
MOD_201741	-21741	1741	Набор садовой мебели для отдыха	-2.0
MOD_201742	-21742	1742	Шезлонг без подушки	-2.0
MOD_201743	-21743	1743	Шезлонг с подушкой	-2.0
MOD_201744	-21744	1744	Тканевый гамак	-2.0
MOD_201745	-21745	1745	Гамак с каркасом	-2.0
